"name","logo","homepage_url","crunchbase"
"Paramount Software Solutions Inc.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/paramount-software-solutions-inc.svg","https://paramountsoft.net/",""
"Pegwin","","https://pegwin.io/",""
"Penn Blockchain Club","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/pennblockchainclub.svg","https://pennblockchain.com/",""
"PJSC ""MMC"" Norilsk Nickel","","https://nornickel.com/",""
"Pravici LLC","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/pravici_llc.svg","https://pravici.com/",""
"Produce Marketing Association","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/produce_marketing_association.svg","https://pma.com/",""
"Public Mint Inc","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/public-mint-inc.svg","https://publicmint.com/",""
"Red Date (Hong Kong) Technology Limited","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/red-date-%28hong-kong%29-technology-limited.svg","https://bsnbase.io/",""
"Saintgits College of Engineering","","https://saintgits.org/","https://www.crunchbase.com/organization/saintgits-college-of-engineering"
"Shanghai Fusion Fintech Co. Ltd","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/shanghaifusionfintechco.ltd.svg","https://fusionfintrade.com/",""
"Shanghai Vonechain Information Technology Co., Ltd","","https://vonechain.com/",""
"Shenzhen Forms Syntron Information Co. Ltd","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/shenzhenformssyntroninformationco.ltd.svg","https://formssi.com/",""
"SIMBA Chain","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/simbachain.svg","https://simbachain.com/",""
"SIX Digital Exchange (SDX)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/six-digital-exchange-%28sdx%29.svg","https://sdx.com/",""
"Smart Block Laboratory","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/smart-block-laboratory.svg","https://smartblocklab.com/",""
"Smart Dubai Government Est.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/smartdubaigovernmentest..svg","https://dubai.ae/",""
"Surge","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/surge.svg","https://surgetech.eu/",""
"Symbridge LLC","","https://symbridgex.com/",""
"Tokentrust AG","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/tokentrustag.svg","https://atomyze.io/",""
"Troon Technologies","","https://troontechnologies.com/","https://www.crunchbase.com/organization/troon"
"United Nations (International Computing Centre)","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/unitednationsinternationalcomputingcentre.svg","https://unicc.org/",""
"WISeKey SA","","https://wisekey.com/","https://www.crunchbase.com/organization/wisekey"
"Zhejiang Block Chain Technology Application Association","","https://unknown.com/","https://www.crunchbase.com/organization/dnx-biotherapeutics"
"Zhongchao CreditCard Industry Development Co., Ltd. Hangzhou Blockchain Technology Research Institute","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/zhongchaocreditcardindustrydevelopmentco.ltd.hangzhoublockchaintechnologyresearchinstitute.svg","https://zcblockchain.com/",""
